"Name","Embed","Latitude","Longitude","Lagoon / Ocean","Vimeo Link"
"Valerie","652256949","28.927630","-80.824892","Lagoon","https://vimeo.com/felixblume/listener-valerie"
"Valerie","652257907","28.928663","-80.823533","Ocean","https://vimeo.com/felixblume/listener-valerie-ocean"
"Michael","652259431","28.857390","-80.777000","Lagoon","https://vimeo.com/felixblume/listener-michael"
"Michael","652261424","28.856214","-80.774916","Ocean","https://vimeo.com/felixblume/listener-michael-ocean"
"Bethany","652265572","28.856801","-80.776800","Lagoon","https://vimeo.com/felixblume/listener-bethany"
"Bethany","652265934","28.858625","-80.776472","Ocean","https://vimeo.com/felixblume/listener-bethany-ocean"
